taraf,barkod,stok_kodu,urun_adi,kategori,satis_fiyati,maliyet,miktar,hedef_marj,ty_plus,flas,urun_reklam,desi_kargo,gercek_hakedis,donem,not
A,86800010027,STK1027,Ürün 27,Spor,609,280.14,4,0.12,,,,,,,girdi
B,86800010027,,,,,,,,58.46,0.0,60.5,42.9,1835.66,2026-06,hakedis
A,86800010028,STK1028,Ürün 28,Oyuncak,626,306.74,1,0.12,,,,,,,girdi
B,86800010028,,,,,,,,15.02,0.0,5.0,47.4,445.9,2026-07,hakedis
A,86800010029,STK1029,Ürün 29,Ayakkabı,643,334.36,2,0.12,,,,,,,girdi
B,86800010029,,,,,,,,30.86,0.0,5.0,51.9,921.75,2026-08,hakedis
A,86800010030,STK1030,Ürün 30,Aksesuar,660,264.0,3,0.12,,,,,,,girdi
B,86800010030,,,,,,,,47.52,59.4,65.0,29.4,1343.08,2026-06,hakedis
A,86800010031,STK1031,Ürün 31,Elektronik,677,291.11,4,0.12,,,,,,,girdi
B,86800010031,,,,,,,,64.99,0.0,5.0,33.9,2021.89,2026-07,hakedis
A,86800010032,STK1032,Ürün 32,Giyim,694,319.24,1,0.12,,,,,,,girdi
B,86800010032,,,,,,,,16.66,0.0,5.0,38.4,449.73,2026-08,hakedis
A,86800010033,STK1033,Ürün 33,Kozmetik,711,348.39,2,0.12,,,,,,,girdi
B,86800010033,,,,,,,,34.13,0.0,69.5,42.9,991.1,2026-06,hakedis
A,86800010034,STK1034,Ürün 34,Ev Yaşam,728,378.56,3,0.12,,,,,,,girdi
B,86800010034,,,,,,,,52.42,0.0,5.0,47.4,1686.06,2026-07,hakedis
A,86800010035,STK1035,Ürün 35,Süpermarket,745,298.0,4,0.12,,,,,,,girdi
B,86800010035,,,,,,,,71.52,89.4,5.0,51.9,2404.58,2026-08,hakedis
