taraf,vkn,unvan,donem,belge_no,tarih,tutar,form_tipi,islem_tipi,belge_adet,not
B,1000000221,Örnek Cari 13 Ltd.,2026-07,,2026-07-19,11787.5,Bs,,2,ba_bs
A,1000000238,Örnek Cari 14 Ltd.,2026-07,BLG2014,2026-07-20,11925.0,,Alış,,cari
B,1000000238,Örnek Cari 14 Ltd.,2026-07,,2026-07-20,11925.0,Ba,,3,ba_bs
A,1000000255X,Örnek Cari 15 Ltd.,2026-07,BLG2015,2026-07-21,12062.5,,Satış,,cari
B,1000000255,Örnek Cari 15 Ltd.,2026-07,,2026-07-21,12062.5,Bs,,1,ba_bs
A,1000000272,Örnek Cari 16 Ltd.,2026-07,BLG2016,2026-07-22,12200.0,,Alış,,cari
B,1000000272,Örnek Cari 16 Ltd.,2026-07,,2026-07-22,12074.5,Ba,,2,ba_bs
A,1000000289,Örnek Cari 17 Ltd.,2026-07,BLG2017,2026-07-23,12337.5,,Satış,,cari
B,1000000289,Örnek Cari 17 Ltd.,2026-07,,2026-07-23,12337.5,Bs,,3,ba_bs
A,1000000306,Örnek Cari 18 Ltd.,2026-07,BLG2018,2026-07-24,12475.0,,Alış,,cari
B,1000000306,Örnek Cari 18 Ltd.,2026-07,,2026-07-24,12475.0,Ba,,1,ba_bs
A,100 0000323,Örnek Cari 19 Ltd.,2026-07,BLG2019,2026-07-25,12612.5,,Satış,,cari
B,1000000323,Örnek Cari 19 Ltd.,2026-07,,2026-07-25,12612.5,Bs,,2,ba_bs
A,1000000340,Örnek Cari 20 Ltd.,2026-07,BLG2020,2026-07-26,12750.0,,Alış,,cari
B,1000000340,Örnek Cari 20 Ltd.,2026-07,,2026-07-26,12750.0,Ba,,3,ba_bs
A,1000000357,Örnek Cari 21 Ltd.,2026-07,BLG2021,2026-07-27,12887.5,,Satış,,cari
B,1000000357,Örnek Cari 21 Ltd.,2026-07,,2026-07-27,12887.5,Bs,,1,ba_bs
A,1000000374,Örnek Cari 22 Ltd.,2026-07,BLG2022,2026-07-28,13025.0,,Alış,,cari
B,1000000374,Örnek Cari 22 Ltd.,2026-07,,2026-07-28,13025.03,Ba,,2,ba_bs
A,1000000391,Örnek Cari 23 Ltd.,2026-07,BLG2023,2026-07-29,13162.5,,Satış,,cari
B,1000000391,Örnek Cari 23 Ltd.,2026-07,,2026-07-29,13162.5,Bs,,3,ba_bs
A,1000000408,Örnek Cari 24 Ltd.,2026-07,BLG2024,2026-07-30,13300.0,,Alış,,cari
B,1000000408,Örnek Cari 24 Ltd.,2026-07,,2026-07-30,13174.5,Ba,,1,ba_bs
A,1000000425,Örnek Cari 25 Ltd.,2026-07,BLG2025,2026-07-31,13437.5,,Satış,,cari
B,1000000425,Örnek Cari 25 Ltd.,2026-07,,2026-07-31,13437.5,Bs,,2,ba_bs
A,1000000442,Örnek Cari 26 Ltd.,2026-07,BLG2026,2026-08-01,13575.0,,Alış,,cari
B,1000000442,Örnek Cari 26 Ltd.,2026-07,,2026-08-01,13575.0,Ba,,3,ba_bs
A,1000000459,Örnek Cari 27 Ltd.,2026-07,BLG2027,2026-08-02,13712.5,,Satış,,cari
B,1000000459,Örnek Cari 27 Ltd.,2026-07,,2026-08-02,13712.5,Bs,,1,ba_bs
A,1000000476,Örnek Cari 28 Ltd.,2026-07,BLG2028,2026-08-03,13850.0,,Alış,,cari
B,1000000476,Örnek Cari 28 Ltd.,2026-07,,2026-08-03,13850.0,Ba,,2,ba_bs
A,1000000493,Örnek Cari 29 Ltd.,2026-07,BLG2029,2026-08-04,13987.5,,Satış,,cari
B,1000000493,Örnek Cari 29 Ltd.,2026-07,,2026-08-04,13987.5,Bs,,3,ba_bs
A,1000000510,Örnek Cari 30 Ltd.,2026-07,BLG2030,2026-08-05,14125.0,,Alış,,cari
B,1000000510,Örnek Cari 30 Ltd.,2026-07,,2026-08-05,14125.0,Ba,,1,ba_bs
A,1000000527,Örnek Cari 31 Ltd.,2026-07,BLG2031,2026-08-06,14262.5,,Satış,,cari
B,1000000527,Örnek Cari 31 Ltd.,2026-07,,2026-08-06,14262.5,Bs,,2,ba_bs
A,1000000544,Örnek Cari 32 Ltd.,2026-07,BLG2032,2026-08-07,14400.0,,Alış,,cari
B,1000000544,Örnek Cari 32 Ltd.,2026-07,,2026-08-07,14274.5,Ba,,3,ba_bs
A,1000000561,Örnek Cari 33 Ltd.,2026-07,BLG2033,2026-08-08,14537.5,,Satış,,cari
B,1000000561,Örnek Cari 33 Ltd.,2026-07,,2026-08-08,14537.53,Bs,,1,ba_bs
A,1000000578,Örnek Cari 34 Ltd.,2026-07,BLG2034,2026-08-09,14675.0,,Alış,,cari
B,1000000578,Örnek Cari 34 Ltd.,2026-07,,2026-08-09,14675.0,Ba,,2,ba_bs
A,1000000595,Örnek Cari 35 Ltd.,2026-07,BLG2035,2026-08-10,14812.5,,Satış,,cari
B,1000000595,Örnek Cari 35 Ltd.,2026-07,,2026-08-10,14812.5,Bs,,3,ba_bs
