taraf,uuid,fatura_no,tarih,vkn,unvan,matrah,kdv,toplam,tutar_b,belge_tipi,not
B,00000009-03f1-4009-a009-000000000099,EFT2026100009,2026-07-14,1000000009,Ornek Firma 9 Ltd.,,,,1713.0,DIGER,eslesir
A,0000000a-03f2-400a-a00a-0000000000aa,EFT2026100010,2026-07-15,1000000010,Ornek Firma 10 Ltd.,1475.0,295.0,1770.0,,SATIS,eslesir
B,0000000a-03f2-400a-a00a-0000000000aa,EFT2026100010,2026-07-15,1000000010,Ornek Firma 10 Ltd.,,,,1770.0,SATIS,eslesir
A,0000000b-03f3-400b-a00b-0000000000bb,EFT2026100011,2026-07-16,1000000011,Ornek Firma 11 Ltd.,1522.5,304.5,1827.0,,IADE,tolerans
B,0000000B03F3400BA00B0000000000BB,EFT2026100011,2026-07-16,1000000011,Ornek Firma 11 Ltd.,,,,1827.03,IADE,tolerans
A,0000000c-03f4-400c-a00c-0000000000cc,EFT2026100012,2026-07-17,1000000012,Ornek Firma 12 Ltd.,1570.0,314.0,1884.0,,ISTISNA,eslesir
B,0000000c-03f4-400c-a00c-0000000000cc,EFT2026100012,2026-07-17,1000000012,Ornek Firma 12 Ltd.,,,,1884.0,ISTISNA,eslesir
A,0000000d-03f5-400d-a00d-0000000000dd,EFT2026100013,2026-07-18,1000000013,Ornek Firma 13 Ltd.,1617.5,323.5,1941.0,,TEVKIFAT,eslesir
B,0000000d-03f5-400d-a00d-0000000000dd,EFT2026100013,2026-07-18,1000000013,Ornek Firma 13 Ltd.,,,,1941.0,TEVKIFAT,eslesir
A,0000000e-03f6-400e-a00e-0000000000ee,EFT2026100014,2026-07-19,1000000014,Ornek Firma 14 Ltd.,1665.0,333.0,1998.0,,DIGER,eslesir
B,0000000e-03f6-400e-a00e-0000000000ee,EFT2026100014,2026-07-19,1000000014,Ornek Firma 14 Ltd.,,,,1998.0,DIGER,eslesir
A,0000000f-03f7-400f-a00f-0000000000ff,EFT2026100015,2026-07-20,1000000015,Ornek Firma 15 Ltd.,1712.5,342.5,2055.0,,SATIS,eslesmez
B,00002337-271f-400f-a00f-0000000256a7,EFT2026100015,2026-07-20,1000000015,Ornek Firma 15 Ltd.,,,,2055.0,SATIS,eslesmez
A,00000010-03f8-4010-a010-000000000110,EFT2026100016,2026-07-21,1000000016,Ornek Firma 16 Ltd.,1760.0,352.0,2112.0,,IADE,tutar_farki
B,00000010-03f8-4010-a010-000000000110,EFT2026100016,2026-07-21,1000000016,Ornek Firma 16 Ltd.,,,,2099.5,IADE,tutar_farki
A,00000011-03f9-4011-a011-000000000121,EFT2026100017,2026-07-22,1000000017,Ornek Firma 17 Ltd.,1807.5,361.5,2169.0,,ISTISNA,eslesir
B,00000011-03f9-4011-a011-000000000121,EFT2026100017,2026-07-22,1000000017,Ornek Firma 17 Ltd.,,,,2169.0,ISTISNA,eslesir
A,00000012-03fa-4012-a012-000000000132,EFT2026100018,2026-07-23,1000000018,Ornek Firma 18 Ltd.,1855.0,371.0,2226.0,,TEVKIFAT,eslesir
B,00000012-03fa-4012-a012-000000000132,EFT2026100018,2026-07-23,1000000018,Ornek Firma 18 Ltd.,,,,2226.0,TEVKIFAT,eslesir
A,00000013-03fb-4013-a013-000000000143,EFT2026100019,2026-07-24,1000000019,Ornek Firma 19 Ltd.,1902.5,380.5,2283.0,,DIGER,eslesir
B,00000013-03fb-4013-a013-000000000143,EFT2026100019,2026-07-24,1000000019,Ornek Firma 19 Ltd.,,,,2283.0,DIGER,eslesir
A,00000014-03fc-4014-a014-000000000154,EFT2026100020,2026-07-25,1000000020,Ornek Firma 20 Ltd.,1950.0,390.0,2340.0,,SATIS,eslesir
B,00000014-03fc-4014-a014-000000000154,EFT2026100020,2026-07-25,1000000020,Ornek Firma 20 Ltd.,,,,2340.0,SATIS,eslesir
A,00000015-03fd-4015-a015-000000000165,EFT2026100021,2026-07-26,1000000021,Ornek Firma 21 Ltd.,1997.5,399.5,2397.0,,IADE,eslesir
B,00000015-03fd-4015-a015-000000000165,EFT2026100021,2026-07-26,1000000021,Ornek Firma 21 Ltd.,,,,2397.0,IADE,eslesir
A,00000016-03fe-4016-a016-000000000176,EFT2026100022,2026-07-27,1000000022,Ornek Firma 22 Ltd.,2045.0,409.0,2454.0,,ISTISNA,tolerans
B,00000016-03fe-4016-a016-000000000176,EFT2026100022,2026-07-27,1000000022,Ornek Firma 22 Ltd.,,,,2454.03,ISTISNA,tolerans
A,00000017-03ff-4017-a017-000000000187,EFT2026100023,2026-07-28,1000000023,Ornek Firma 23 Ltd.,2092.5,418.5,2511.0,,TEVKIFAT,eslesir
B,00000017-03ff-4017-a017-000000000187,EFT2026100023,2026-07-28,1000000023,Ornek Firma 23 Ltd.,,,,2511.0,TEVKIFAT,eslesir
A,00000018-0400-4018-a018-000000000198,EFT2026100024,2026-07-29,1000000024,Ornek Firma 24 Ltd.,2140.0,428.0,2568.0,,DIGER,tutar_farki
B,00000018-0400-4018-a018-000000000198,EFT2026100024,2026-07-29,1000000024,Ornek Firma 24 Ltd.,,,,2555.5,DIGER,tutar_farki
A,00000019-0401-4019-a019-0000000001a9,EFT2026100025,2026-07-30,1000000025,Ornek Firma 25 Ltd.,2187.5,437.5,2625.0,,SATIS,eslesir
B,00000019-0401-4019-a019-0000000001a9,EFT2026100025,2026-07-30,1000000025,Ornek Firma 25 Ltd.,,,,2625.0,SATIS,eslesir
A,0000001a-0402-401a-a01a-0000000001ba,EFT2026100026,2026-07-31,1000000026,Ornek Firma 26 Ltd.,2235.0,447.0,2682.0,,IADE,eslesir
B,0000001a-0402-401a-a01a-0000000001ba,EFT2026100026,2026-07-31,1000000026,Ornek Firma 26 Ltd.,,,,2682.0,IADE,eslesir
A,0000001b-0403-401b-a01b-0000000001cb,EFT2026100027,2026-08-01,1000000027,Ornek Firma 27 Ltd.,2282.5,456.5,2739.0,,ISTISNA,eslesir
B,0000001b-0403-401b-a01b-0000000001cb,EFT2026100027,2026-08-01,1000000027,Ornek Firma 27 Ltd.,,,,2739.0,ISTISNA,eslesir
A,0000001c-0404-401c-a01c-0000000001dc,EFT2026100028,2026-08-02,1000000028,Ornek Firma 28 Ltd.,2330.0,466.0,2796.0,,TEVKIFAT,eslesir
B,0000001c-0404-401c-a01c-0000000001dc,EFT2026100028,2026-08-02,1000000028,Ornek Firma 28 Ltd.,,,,2796.0,TEVKIFAT,eslesir
A,0000001d-0405-401d-a01d-0000000001ed,EFT2026100029,2026-08-03,1000000029,Ornek Firma 29 Ltd.,2377.5,475.5,2853.0,,DIGER,eslesir
B,0000001d-0405-401d-a01d-0000000001ed,EFT2026100029,2026-08-03,1000000029,Ornek Firma 29 Ltd.,,,,2853.0,DIGER,eslesir
A,0000001e-0406-401e-a01e-0000000001fe,EFT2026100030,2026-08-04,1000000030,Ornek Firma 30 Ltd.,2425.0,485.0,2910.0,,SATIS,eslesir
B,0000001e-0406-401e-a01e-0000000001fe,EFT2026100030,2026-08-04,1000000030,Ornek Firma 30 Ltd.,,,,2910.0,SATIS,eslesir
A,0000001f-0407-401f-a01f-00000000020f,EFT2026100031,2026-08-05,1000000031,Ornek Firma 31 Ltd.,2472.5,494.5,2967.0,,IADE,eslesir
B,0000001f-0407-401f-a01f-00000000020f,EFT2026100031,2026-08-05,1000000031,Ornek Firma 31 Ltd.,,,,2967.0,IADE,eslesir
A,00000020-0408-4020-a020-000000000220,EFT2026100032,2026-08-06,1000000032,Ornek Firma 32 Ltd.,2520.0,504.0,3024.0,,ISTISNA,tutar_farki
B,00000020-0408-4020-a020-000000000220,EFT2026100032,2026-08-06,1000000032,Ornek Firma 32 Ltd.,,,,3011.5,ISTISNA,tutar_farki
A,00000021-0409-4021-a021-000000000231,EFT2026100033,2026-08-07,1000000033,Ornek Firma 33 Ltd.,2567.5,513.5,3081.0,,TEVKIFAT,tolerans
B,00000021-0409-4021-a021-000000000231,EFT2026100033,2026-08-07,1000000033,Ornek Firma 33 Ltd.,,,,3081.03,TEVKIFAT,tolerans
A,00000022-040a-4022-a022-000000000242,EFT2026100034,2026-08-08,1000000034,Ornek Firma 34 Ltd.,2615.0,523.0,3138.0,,DIGER,eslesir
B,00000022-040a-4022-a022-000000000242,EFT2026100034,2026-08-08,1000000034,Ornek Firma 34 Ltd.,,,,3138.0,DIGER,eslesir
A,00000023-040b-4023-a023-000000000253,EFT2026100035,2026-08-09,1000000035,Ornek Firma 35 Ltd.,2662.5,532.5,3195.0,,SATIS,eslesir
B,00000023-040b-4023-a023-000000000253,EFT2026100035,2026-08-09,1000000035,Ornek Firma 35 Ltd.,,,,3195.0,SATIS,eslesir
A,00000024-040c-4024-a024-000000000264,EFT2026100036,2026-08-10,1000000036,Ornek Firma 36 Ltd.,2710.0,542.0,3252.0,,IADE,eslesir
B,00000024-040c-4024-a024-000000000264,EFT2026100036,2026-08-10,1000000036,Ornek Firma 36 Ltd.,,,,3252.0,IADE,eslesir
A,00000025-040d-4025-a025-000000000275,EFT2026100037,2026-08-11,1000000037,Ornek Firma 37 Ltd.,2757.5,551.5,3309.0,,ISTISNA,eslesir
B,00000025-040d-4025-a025-000000000275,EFT2026100037,2026-08-11,1000000037,Ornek Firma 37 Ltd.,,,,3309.0,ISTISNA,eslesir
A,00000026-040e-4026-a026-000000000286,EFT2026100038,2026-08-12,1000000038,Ornek Firma 38 Ltd.,2805.0,561.0,3366.0,,TEVKIFAT,eslesir
B,00000026-040e-4026-a026-000000000286,EFT2026100038,2026-08-12,1000000038,Ornek Firma 38 Ltd.,,,,3366.0,TEVKIFAT,eslesir
A,00000027-040f-4027-a027-000000000297,EFT2026100039,2026-08-13,1000000039,Ornek Firma 39 Ltd.,2852.5,570.5,3423.0,,DIGER,eslesir
B,00000027-040f-4027-a027-000000000297,EFT2026100039,2026-08-13,1000000039,Ornek Firma 39 Ltd.,,,,3423.0,DIGER,eslesir
A,00000028-0410-4028-a028-0000000002a8,EFT2026100040,2026-08-14,1000000040,Ornek Firma 40 Ltd.,2900.0,580.0,3480.0,,SATIS,tutar_farki
B,00000028-0410-4028-a028-0000000002a8,EFT2026100040,2026-08-14,1000000040,Ornek Firma 40 Ltd.,,,,3467.5,SATIS,tutar_farki
