slug,ad,fiyat_tl,shopier_id
hakedis-fiyat-farki-hak-kaybi-cetveli,Hakediş Fiyat Farkı ve Hak Kaybı Cetveli,499,49652321
ihaleye-kac-tl-teklif-vermeliyim,İhaleye Kaç TL Teklif Vermeliyim? (Sınır Değer Hesaplayıcı),999,49653399
insaat-hakedis-santiye-maliyet,İnşaat Hakediş ve Şantiye Maliyet Takip,799,49652403
ithalat-depo-teslim-rafa-gelen-net-birim-maliyet,İthalat Depo Teslim (Rafa Gelen) Net Birim Maliyet,799,49652403
kacirilan-sgk-tesvikleri-ve-gercek-iscilik-maliyeti-analizi,Kaçırılan SGK Teşvikleri & Gerçek İşçilik Maliyeti Analizi,999,49653399
kdv-iade-listesi-robotu-gib7,KDV İade Listesi Robotu (GİB 7 Liste),799,49652403
kdv-iadesi-azami-alacak-hesabi-dosya-hazirlayici,KDV İadesi Azami Alacak Hesabı & Dosya Hazırlayıcı,1499,49653437
kdv-tevkifat-mahsup-iade-listesi,KDV Tevkifat Mahsup ve KDV İade Listesi,799,49652403
kidem-ihbar-yuku-ve-personel-cikarma-maliyeti-hesaplayici,Kıdem–İhbar Yükü ve Personel Çıkarma Maliyeti Hesaplayıcı,799,49652403
kira-avans-takip-dekont,Kira ve Avans Takip + Dekont,499,49652321
kkeg-ve-finansman-gider-kisitlamasi-vergi-savunma-seti,KKEG ve Finansman Gider Kısıtlaması Vergi Savunma Seti,1499,49653437
kobi-finans-yonetim-paketi,KOBİ Finans Yönetim Paketi,1499,49653437
konkordato-nakit-akis-on-projesi,Konkordato Nakit Akış Ön Projesi,799,49652403
logo-sql-cari-yaslandirma-tahsilat-karar-motoru,Logo SQL Cari Yaşlandırma & Tahsilat Karar Motoru,1499,49653437
mutfak-kayip-kacak-hesaplayici,Mutfak Kayıp/Kaçak Tespiti & Menü Kârlılık Analizi,999,49653399
nakliye-maliyeti-hesaplayici,Sefer Başına Nakliye Maliyeti & Fiyatlandırma Cetveli,499,49652321
ortaklar-cari-ve-kasa-adat-faiz-faturasi-hesaplayici,Ortaklar Cari & Kasa Adat Faiz Faturası Hesaplayıcı,999,49653399
pazaryeri-net-kar-ve-eksik-hakedis-yakalayici,Pazaryeri Net Kâr & Eksik Hakediş Yakalayıcı,999,49653399
pos-komisyon-ve-net-tahsilat-kontrol-sistemi,"POS, Komisyon ve Net Tahsilat Kontrol Sistemi",499,49652321
proje-ve-is-bazinda-gercek-karlilik-sistemi,Proje ve İş Bazında Gerçek Kârlılık Sistemi,999,49653399
restoran-recete-maliyet-fire,Restoran Reçete Maliyet + Fire Hesaplama,499,49652321
sirket-oz-kaynagi-eridi-mi-ttk-376-sermaye-tamamlama-cetveli,Şirket Öz Kaynağı Eridi Mi? (TTK 376 Sermaye Tamamlama Cetveli),1499,49653437
stok-satis-ve-nakit-baglanma-sistemi,"Stok, Satış ve Nakit Bağlanma Sistemi",799,49652403
sube-karlilik-ve-nakit-hesaplayici,Bu Şubeyi Kapatmalı Mıyım? (Şube Kârlılık & Nakit Yakış Analizi),999,49653399
taseron-hakedis-kesinti-mutabakati,Taşeron/Alt Yüklenici Hakediş & Kesinti Mutabakatı,799,49652403
tesvikli-bordro-avantajli-tesvik,Teşvikli Bordro ve En Avantajlı Teşvik Seçen,799,49652403
tesvikli-bordro-optimizasyon,Teşvikli Bordro Optimizasyon,1499,49653437
trendyol-komisyon-sonrasi-net-kar,Trendyol Komisyon Sonrası Net Kâr Hesaplama,499,49652321
uretim-recetesi-ve-zam-yansitma-hesaplayici,Üretim Reçetesi & Zam Yansıtma Hesaplayıcı,799,49652403
vergi-sgk-borcunu-tecil-etmeli-miyim-kredi-mi-tecil-mi,Vergi/SGK Borcunu Tecil Etmeli Miyim? (Kredi mi Tecil mi?),499,49652321
vergi-sgk-ve-maas-karsilik-ayirma-sistemi,"Vergi, SGK ve Maaş Karşılık Ayırma Sistemi",499,49652321
yeniden-degerleme-yapmali-miyim-vergi-tasarruf-analizi,Yeniden Değerleme Yapmalı Mıyım? (Vergi Tasarruf Analizi),999,49653399
yillara-sari-insaat-stopaj-nakit-akis-planlayici,Yıllara Sari İnşaat Stopaj & Nakit Akış Planlayıcı,999,49653399
ymm-tasdik-kontrol-robotu,YMM Tasdik Kontrol Robotu,999,49653399
